化学式：Ga₂O₃	三氧化二镓
化学式：SiC	碳化硅
化学式：TiO₂	二氧化钛
化学式：H	氢
化学式：He	氦
化学式：Li	锂
化学式：Be	铍
化学式：B	硼
化学式：C	碳
化学式：N	氮
化学式：O	氧
化学式：F	氟
化学式：Ne	氖
化学式：Na	钠
化学式：Mg	镁
化学式：Al	铝
化学式：Si	硅
化学式：P	磷
化学式：S	硫
化学式：Cl	氯
化学式：Ar	氩
化学式：K	钾
化学式：Ca	钙
化学式：Sc	钪
化学式：Ti	钛
化学式：V	钒
化学式：Cr	铬
化学式：Mn	锰
化学式：Fe	铁
化学式：Co	钴
化学式：Ni	镍
化学式：Cu	铜
化学式：Zn	锌
化学式：Ga	镓
化学式：Ge	锗
化学式：As	砷
化学式：Se	硒
化学式：Br	溴
化学式：Kr	氪
化学式：Rb	铷
化学式：Sr	锶
化学式：Y	钇
化学式：Zr	锆
化学式：Nb	铌
化学式：Mo	钼
化学式：Tc	锝
化学式：Ru	钌
化学式：Rh	铑
化学式：Pd	钯
化学式：Ag	银
化学式：Cd	镉
化学式：In	铟
化学式：Sn	锡
化学式：Sb	锑
化学式：Te	碲
化学式：I	碘
化学式：Xe	氙
化学式：Cs	铯
化学式：Ba	钡
化学式：La	镧
化学式：Ce	铈
化学式：Pr	镨
化学式：Nd	钕
化学式：Pm	钷
化学式：Sm	钐
化学式：Eu	铕
化学式：Gd	钆
化学式：Tb	铽
化学式：Dy	镝
化学式：Ho	钬
化学式：Er	铒
化学式：Tm	铥
化学式：Yb	镱
化学式：Lu	镥
化学式：Hf	铪
化学式：Ta	钽
化学式：W	钨
化学式：Re	铼
化学式：Os	锇
化学式：Ir	铱
化学式：Pt	铂
化学式：Au	金
化学式：Hg	汞
化学式：Tl	铊
化学式：Pb	铅
化学式：Bi	铋
化学式：Po	钋
化学式：At	砹
化学式：Rn	氡
化学式：Fr	钫
化学式：Ra	镭
化学式：Ac	锕
化学式：Th	钍
化学式：Pa	镤
化学式：U	铀
化学式：Np	镎
化学式：Pu	钚
化学式：Am	镅
化学式：Cm	锔
化学式：Bk	锫
化学式：Cf	锎
化学式：Es	锿
化学式：Fm	镄
化学式：Md	钔
化学式：No	锘
化学式：Lr	铹
化学式：Rf	𬬻
化学式：Db	𬭊
化学式：Sg	𬭳
化学式：Bh	𬭛
化学式：Hs	𬭶
化学式：Mt	鿏
化学式：Ds	𫟼
化学式：Rg	𬬭
化学式：Cn	鿔
化学式：Nh	鿭
化学式：Fl	𫓧
化学式：Mc	镆
化学式：Lv	𫟷
化学式：Ts	鿬
化学式：Og	鿫
化学式：Al₂O₃	蓝宝石
化学式：SiO₂	氧化硅
化学式：Ar	氩气
化学式：H₂	氢气
化学式：O₂	氧气
化学式：He	氦气
化学式：N₂	氮气
化学式：NH₃	氨气
化学式：Cl₂	氯气
化学式：TiO₂	氧化钛
化学式：TiO₂	金红石
单位：µm	微米
单位：km	千米
单位：mm	毫米
单位：dm	分米
单位：cm	厘米
单位：pm	皮米
单位：m	米
单位：Å	埃
单位：Å	埃米
时间：Apr.	四月
时间：Apr.	四月份
时间：Aug.	八月
时间：Aug.	八月份
时间：Dec.	十二月
时间：Dec.	十二月份
时间：Feb.	二月
时间：Feb.	二月份
时间：Fri.	周五
时间：Fri.	星期五
时间：Fri.	礼拜五
时间：Jan.	一月
时间：Jan.	一月份
时间：July.	七月
时间：July.	七月份
时间：June.	六月
时间：June.	六月份
时间：Mar.	三月
时间：Mar.	三月份
时间：May.	五月
时间：May.	五月份
时间：Mon.	周一
时间：Mon.	星期一
时间：Mon.	礼拜一
时间：Nov.	十一月
时间：Nov.	十一月份
时间：Oct.	十月
时间：Oct.	十月份
时间：Sat.	周六
时间：Sat.	星期六
时间：Sat.	礼拜六
时间：Sep.	九月
时间：Sep.	九月份
时间：Sun.	周日
时间：Sun.	星期日
时间：Sun.	礼拜日
时间：Thu.	周四
时间：Thu.	星期四
时间：Thu.	礼拜四
时间：Tue.	周二
时间：Tue.	星期二
时间：Tue.	礼拜二
时间：Wed.	周三
时间：Wed.	星期三
时间：Wed.	礼拜三
符号：%	百分之
符号：%	百分号
符号：+∞	正无穷
符号：-∞	负无穷
符号：1	百分之一百
符号：1	百分之百
符号：1	百分百
符号：<	小于
符号：>	大于
符号：`	反引号
符号：cm²	平方厘米
符号：cm³	立方厘米
符号：dm²	平方分米
符号：dm³	立方分米
符号：m²	平方米
符号：m³	立方米
符号：°	度
符号：′	分
符号：″	秒
符号：±	正负
符号：±	正负号
符号：²	两次方
符号：²	二次方
符号：²	平方
符号：³	三次方
符号：³	立方
符号：·	间隔号
符号：¹	一次方
符号：¹⁰	十次方
符号：¼	四分之一
符号：½	二分之一
符号：¾	四分之三
符号：¿	反问号
符号：π	圆周率
符号：—	连接号
符号：—	连接符
符号：——	破折号
符号：‰	千分之
符号：‰	千分号
符号：‱	万分之
符号：‱	万分号
符号：⁴	四次方
符号：⁵	五次方
符号：⁶	六次方
符号：⁷	七次方
符号：⁸	八次方
符号：⁹	九次方
符号：℃	摄氏度
符号：℉	华氏度
符号：⅐	七分之一
符号：⅑	九分之一
符号：⅒	十分之一
符号：⅓	三分之一
符号：⅔	三分之二
符号：⅕	五分之一
符号：⅖	五分之二
符号：⅗	五分之三
符号：⅘	五分之四
符号：⅙	六分之一
符号：⅚	六分之五
符号：⅛	八分之一
符号：⅜	八分之三
符号：⅝	八分之五
符号：⅞	八分之七
符号：√	根号
符号：∞	无穷大
符号：∞	无穷大符号
符号：≈	约等
符号：≈	约等于
符号：≈	约等号
符号：≠	不等于
符号：≠	不等号
符号：<≤>	小于号
符号：≤	小于等于
符号：≤	小于等于号
符号：>	大于号
符号：≥	大于等于
符号：≥	大于等于号
符号：吋	英寸
符号：－	连字符
符号：@	艾特
符号：α	alpha
符号：Α	Alpha
符号：β	beta
符号：Β	Beta
符号：γ	gamma
符号：Γ	Gamma
符号：δ	delta
符号：Δ	Delta
符号：ε	epsilon
符号：Ε	Epsilon
符号：ζ	zeta
符号：Ζ	Zeta
符号：η	eta
符号：Η	Eta
符号：θ	theta
符号：Θ	Theta
符号：ι	Iota
符号：Ι	Lota
符号：κ	kappa
符号：Κ	Kappa
符号：λ	lambda
符号：Λ	Lambda
符号：α	阿尔法
符号：β	贝塔
符号：γ	伽马
符号：δ	德尔塔
符号：ε	艾普西隆
符号：ζ	泽塔
符号：η	伊塔
符号：θ	西塔
符号：ι	约塔
符号：κ	卡帕
符号：λ	拉姆达
符号：µ	mu
符号：Μ	Mu
符号：ν	nu
符号：Ν	Nu
符号：ξ	xi
符号：Ξ	Xi
符号：o	omicron
符号：o	奥密克戎
符号：Ο	Omicron
符号：π	pi
符号：Π	Pi
符号：π	pai
符号：ρ	rho
符号：Ρ	Rho
符号：σ	sigma
符号：σ	西格马
符号：Σ	Sigma
符号：τ	tau
符号：Τ	Tau
符号：υ	upsilon
符号：Υ	Upsilon
符号：φ	phi
符号：Φ	Phi
符号：χ	chi
符号：Χ	Chi
符号：ψ	psi
符号：Ψ	Psi
符号：ω	omega
符号：Ω	Omega
符号：Ω	欧姆
符号：⁠	无断行连接符
符号：‍	零宽连接符
符号：‌	零宽非连接符
符号：​	零宽空格
符号：‎	左到右标记
符号：‏	右到左标记
符号： 	空格
符号： 	不换行空格
符号： 	窄不换行空格
符号： 	全方空格
符号： 	半角空格
符号： 	三分之一空格
符号： 	四分之一空格
符号： 	六分之一空格
符号： 	中空格
符号： 	数字空格
符号： 	标点空格
符号： 	细空格
符号： 	发际空格
符号：(	左括号
符号：⟮	左扁平括号
符号：⦇	左闭合括号
符号：⦅	左空心括号
符号：)	右括号
符号：⟯	右扁平括号
符号：⦈	右闭合括号
符号：⦆	右空心括号
符号：⏜	上括号
符号：⏝	下括号
符号：{	左大括号
符号：⦃	左空心大括号
符号：}	右大括号
符号：⦄	右空心大括号
符号：⏞	上大括号
符号：⏟	下大括号
